RPM,SPEED,THROTTLE_POS,MAF,COOLANT_TEMP,INTAKE_TEMP,O2_B1S1,ENGINE_LOAD,INTAKE_PRESSURE,O2_B1S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,segment_id
2036,58,23.53,2.67,96,26,0.125,5.098,25,0.725,0,17.97,6
1927,54,23.53,2.71,96,27,0.125,5.882,27,0.725,0,17.97,6
1142,28,22.75,2.38,96,27,0.125,8.235,43,0.725,-3.125,25,6
2787,38,38.43,15.09,97,26,0.065,20.78,80,0.14,3.906,1.562,6
2108,43,27.06,4.29,97,26,0.065,8.235,35,0.14,-6.25,16.41,6
2376,48,23.53,2.59,97,26,0.065,4.314,28,0.14,0,17.19,6
2502,50,37.25,13.57,97,26,0.015,21.96,75,0.015,-3.906,9.375,6
2043,58,57.65,21.46,97,26,0.015,43.14,100,0.015,0,1.562,6
2566,73,43.14,21.96,97,26,0.015,34.12,91,0.015,5.469,-3.906,6
2264,80,58.43,24.35,97,26,0.61,43.14,99,0.245,2.344,-3.125,6
2578,91,60,27.63,97,26,0.61,42.75,100,0.245,5.469,-3.125,6
2730,96,37.65,13.84,97,26,0.61,20,82,0.245,1.562,3.125,6
2792,99,37.65,13.05,97,26,0.61,18.04,79,0.205,6.25,4.688,6
2756,97,39.22,15.6,97,26,0.61,21.96,87,0.205,-0.7812,4.688,6
2766,98,41.18,17.45,97,26,0.61,24.31,91,0.205,0,4.688,6
2713,96,36.08,11.79,98,26,0.3,16.86,71,0.36,-3.906,9.375,6
2683,95,40,16.9,98,26,0.3,24.71,86,0.36,-3.906,7.031,6
2745,97,40.78,17.85,98,26,0.3,25.49,89,0.36,-3.125,4.688,6
2837,100,42.75,18.96,98,26,0.685,25.88,91,0.23,0,4.688,6
2894,102,36.86,11.83,98,26,0.685,15.29,78,0.23,-0.7812,5.469,6
2808,100,34.12,9.44,98,26,0.685,12.94,41,0.23,29.69,14.84,6
2965,104,34.51,9.82,98,26,0.075,12.55,62,0.41,2.344,8.594,6
2989,105,32.55,7.64,98,26,0.075,9.804,47,0.41,0,10.94,6
2967,105,39.22,16.84,98,26,0.075,21.18,85,0.41,5.469,10.16,6
3002,106,38.82,14.84,98,26,0.57,18.82,84,0.505,-2.344,5.469,6
3000,106,38.43,14.52,98,26,0.57,18.43,85,0.505,0,5.469,6
2995,106,38.04,14.01,98,26,0.57,18.04,85,0.505,0,5.469,6
2989,106,39.22,15.66,97,26,0.66,19.61,86,0.2,0,4.688,6
2977,105,38.43,14.71,97,26,0.66,18.82,86,0.2,0.7812,5.469,6
